Conversation.json#dialog
测试物品获得|Test Items Acquired
好像再无增援了，想必这些便是此时监视城中的全部人手了！|It seems there are no more reinforcements. These must be all the people monitoring the city at this moment!
再坚持一下便撤回城中！|Hold on a little longer and then retreat back to the city!
走！且战且退！|Go! Fight and retreat!
待到城头弓箭覆盖范围内，袁军必然不敢再追！|Once they are within the range of arrows from the top of the city wall, Yuan’s army will definitely not dare to chase them anymore!
扛不住了！快撤！SN18CH！你先撤退，我来断后！|I can't hold on any longer! Retreat! SN18CH! You retreat first, I'll cover your retreat!
愿与将军共生死，要走一起走！|I am willing to share life and death with the general, and go together!
好！退至城头弓箭能够覆盖之处，袁军定不敢深追！|Good! Retreat to the top of the city wall where we can be reached by arrows. The Yuan army will surely not dare pursue us any further!
待几人回到城中。|Wait until a few people return to the city.
你几人可算是回来了！|You guys are finally back!
另一队已顺利离开，全仰赖CH之能。既然信已送出，那我军反攻之日便近在咫尺！|The other team has already left safely, all thanks to CH's ability. Now that the letter has been sent, our counterattack is just around the corner!
过奖了，SN18CH此战功劳亦是不小！|Thank you for the compliment. SN18CH has made a great contribution in this battle!
只要你二人没事便好。之后领兵，还得仰仗CH，还请回去好好歇息。|As long as you two are alright, I'm fine. We'll have to rely on CH to lead the troops from now on, so please go back and get some rest.
多谢，既然如此我便先回去洗漱歇息。|Thank you. In that case, I will go back to wash up and rest.
CH，可有伤着？|CH, are you hurt?
多亏PCH掩护，未曾受伤。|Thanks to PCH's cover, he was not injured.
没伤着就好，你出城后为父的心便一直悬着，还好你全须全尾地回来了。|I'm glad you weren't hurt. I've been worried about you since you left the city. Fortunately, you came back safe and sound.
CH多虑了。|CH is worrying too much.
好，是为父多虑了，你也快去歇息歇息吧！|Okay, I was worried too much. You should go and have a rest!
CH，今晚多备些肉食，给将士们补充补充体力，为即将到来的战斗做好准备！|CH, prepare more meat tonight to replenish the soldiers' strength and prepare for the upcoming battle!
是！我这就去办！|Yes! I'll do it right away!
随着城中飘出阵阵肉香，PLACE1NAME守军多日的疲惫被一扫而光......|As the aroma of meat wafted through the city, the fatigue of PLACE1NAME's defenders was swept away...
数日后，城外泛起点点火星......|A few days later, sparks appeared outside the city...
待几人回到城中。|Wait until a few people return to the city.
抱歉......敌军还是太多了......|Sorry... there are still too many enemies...
无妨，你二人平安回来就行！|It’s okay, as long as you two come back safely!
另一队已经离开，只要他们能将那信送到，我军反攻之日便近在咫尺！|The other team has already left. As long as they can deliver the letter, our counterattack will be just around the corner!
希望能够顺利送到。|Hope it can be delivered smoothly.
还请CH先去好好歇息。|Please go and have a good rest first, CH.
多谢，既然如此我便先回去洗漱歇息。|Thank you. In that case, I will go back to wash up and rest.
CH，可有伤着？|CH, are you hurt?
多亏PCH掩护，未有大碍。|Thanks to the protection of PCH, nothing serious happened.
没大碍便好，你出城后为父的心便一直悬着，WO去替你寻个大夫看看。|I'm glad you're not seriously injured. Your father has been worried about you since you left the city. I'll go find a doctor for you.
不必了CH，WO休息一下就好了。|No need, CH, WO just needs to take a rest.
好，既然如此你也快去歇息吧！|Well, in that case, you should go and have a rest!
CH，今晚多备些肉食，给将士们补充补充体力，为即将到来的战斗做好准备！|CH, prepare more meat tonight to replenish the soldiers' strength and prepare for the upcoming battle!
是！我这就去办！|Yes! I'll do it right away!
随着城中飘出阵阵肉香，PLACE1NAME守军多日的疲惫被一扫而光......|As the aroma of meat wafted through the city, the fatigue of PLACE1NAME's defenders was swept away...
数日后，城外泛起点点火星......|A few days later, sparks appeared outside the city...
将士们！城外火把已立！是援军来了！随我出城！杀他SN1MING个片甲不留！|Soldiers! Torches are lit outside the city! Reinforcements are coming! Follow me out of the city! Kill SN1MING without a single piece of armor left!
SN15CH！快出来吧！你我合兵一处！这便杀去那袁绍帐去！|SN15CH! Come out! Let's unite our forces! Let's attack Yuan Shao's camp!
SN8XING大人！WO在呢！|SN8XING-sama! WO is here!
SN8CH！SN15XING大人请来了，还有数万黑山军！|SN8CH! SN15XING Lord is here, along with tens of thousands of Black Mountain troops!
SN9CH做得好啊！|Well done SN9CH!
大人！迟则生变，趁着SN1MING还没发现，我等应当奇袭大营！|My Lord! If we delay, something unexpected will happen. Before SN1MING notices us, we should launch a surprise attack on the main camp!
说的是，SN8CH，此战便由我打头阵！杀SN1MING个片甲不留！|I mean, SN8CH, I'll lead the charge in this battle! Kill SN1MING without a single mortal left!
大人！探子来报！SN8MING率兵出城！|Sir! The spies report! SN8MING is leading his troops out of the city!
哈哈哈哈哈！果然来了！击鼓为号，准备迎敌！|Hahahaha! They're coming! Beat the drums, prepare to meet the enemy!
居然有所防备？但是也晚了！|He was actually prepared? But it was too late!
我军人多势众！今日就是你SN1MING葬身之日！|Our army is strong in numbers! Today is the day you, SN1MING, will be buried!
将士们！城外火把已立！是援军来了！随我出城！杀他SN1MING个片甲不留！|Soldiers! Torches are lit outside the city! Reinforcements are coming! Follow me out of the city! Kill SN1MING without a single piece of armor left!
SN15CH！快出来吧！你我合兵一处！这便杀去那袁绍帐去！|SN15CH! Come out! Let's unite our forces! Let's attack Yuan Shao's camp!
SN8XING大人！WO在呢！|SN8XING-sama! WO is here!
SN8CH！SN15XING大人请来了，还有数万黑山军！|SN8CH! SN15XING Lord is here, along with tens of thousands of Black Mountain troops!
SN9CH做得好啊！|Well done SN9CH!
大人！迟则生变，趁着SN1MING还没发现，我等应当奇袭大营！|My Lord! If we delay, something unexpected will happen. Before SN1MING notices us, we should launch a surprise attack on the main camp!
说的是，SN8CH，此战便由我打头阵！杀SN1MING个片甲不留！|I mean, SN8CH, I'll lead the charge in this battle! Kill SN1MING without a single mortal left!
大人！探子来报！SN8MING率兵出城！|Sir! The spies report! SN8MING is leading his troops out of the city!
哈哈哈哈哈！果然来了！击鼓为号，准备迎敌！|Hahahaha! They're coming! Beat the drums, prepare to meet the enemy!
居然有所防备？但是也晚了！|He was actually prepared? But it was too late!
我军人多势众！今日就是你SN1MING葬身之日！|Our army is strong in numbers! Today is the day you, SN1MING, will be buried!
将士们！城外火把已立！是援军来了！随我出城！杀他SN1MING个片甲不留！|Soldiers! Torches are lit outside the city! Reinforcements are coming! Follow me out of the city! Kill SN1MING without a single piece of armor left!
SN15CH！快出来吧！你我合兵一处！这便杀去那袁绍帐去！|SN15CH! Come out! Let's unite our forces! Let's attack Yuan Shao's camp!
等......等等......|Wait...wait...
SN8XING将军！怎么想起来出城了？|General SN8XING! Why did you decide to leave the city?
不好！撤退！是埋伏！|Oh no! Retreat! It's an ambush!
SN8XING将军！出来了就别回去了吧！不然显得多生分啊！|General SN8XING! Now that you're out, don't go back! Otherwise, it'll seem so alienated!
不如将军此时放下兵刃，归降我军，不失为美事一桩啊！|It would be a good thing for the general to lay down his weapons and surrender to our army now!
你做梦！全军将士！背水一战！|You're dreaming! All soldiers! This is a decisive battle!
背水一战！|A decisive battle!
将士们！城外火把已立！是援军来了！随我出城！杀他SN1MING个片甲不留！|Soldiers! Torches are lit outside the city! Reinforcements are coming! Follow me out of the city! Kill SN1MING without a single piece of armor left!
SN15CH！快出来吧！你我合兵一处！这便杀去那袁绍帐去！|SN15CH! Come out! Let's unite our forces! Let's attack Yuan Shao's camp!
等......等等......|Wait...wait...
SN8XING将军！怎么想起来出城了？|General SN8XING! Why did you decide to leave the city?
不好！撤退！是埋伏！|Oh no! Retreat! It's an ambush!
SN8XING将军！出来了就别回去了吧！不然显得多生分啊！|General SN8XING! Now that you're out, don't go back! Otherwise, it'll seem so alienated!
不如将军此时放下兵刃，归降我军，不失为美事一桩啊！|It would be a good thing for the general to lay down his weapons and surrender to our army now!
你做梦！全军将士！背水一战！|You're dreaming! All soldiers! This is a decisive battle!
背水一战！|A decisive battle!
SN8CH！我们也来支援了！|SN8CH! We're here to support you too!
感谢先前CH派兵支援我等，否则我二人早已身首异处！|Thank you CH for sending troops to support us earlier, otherwise we would have been beheaded long ago!
好！没想到还能得到两位助力！|Great! I didn't expect to have two more people helping me!
和我一起，共退袁军！|Join me and defeat Yuan’s army!
SN8CH！我们也来支援了！|SN8CH! We're here to support you too!
感谢先前CH派兵支援我等，否则我二人早已身首异处！|Thank you CH for sending troops to support us earlier, otherwise we would have been beheaded long ago!
好！没想到还能得到两位助力！|Great! I didn't expect to have two more people helping me!
和我一起，共退袁军！|Join me and defeat Yuan’s army!
SN1MING！还雄霸河北？真是招笑！|SN1MING! Dominating Hebei? How ridiculous!
SN8MING！莫要以为赢了这一次就真能打的过我了！|SN8MING! Don't think you can really beat me just because you win this time!
哈哈哈哈！痛快痛快！SN1MING！夹着尾巴逃跑吧！|Hahahaha! What a joy! SN1MING! Run away with your tail between your legs!
SN8CH！这SN1MING真是难啃的硬骨头......既然啃不下来......我军便先行撤退，日后再来......就不随你进城了......|SN8CH! This SN1MING is a tough nut to crack... Since we can't crack it... our army will retreat first and come back later... We won't follow you into the city...
SN8CH，我军将士快顶不住了......不如......先行回城，再做打算！|SN8CH, our soldiers can’t hold on any longer... Why don’t we... go back to the city first and make plans later!
哎......回城！哪里还回得去啊！|Hey... Go back to the city! Where can I go back to?
击退袁军后，众人于城中大殿之中......|After repelling Yuan's army, everyone gathered in the main hall in the city...
今日能够退敌，多亏了在座诸位！还请诸位满饮此爵！|We were able to defeat the enemy today thanks to all of you present! Please drink this cup to the fullest!
饮胜！为主公贺！为易京贺！|Congratulations to the Lord! Congratulations to Yi Jing!
SN15XING将军！多亏你前来解围！自然要重赏！便赐金十斤，锦缎五十匹！来援将士皆赏钱千贯！|General SN15XING! Thanks to you for coming to our rescue! Naturally, you deserve a generous reward! I'll give you ten pounds of gold and fifty pieces of brocade! And I'll give a thousand strings of cash to all the soldiers who come to our aid!
我只是从旁协助罢了，还是CH城中将士用命。|I was just assisting from the side, but it was the soldiers in CH city who risked their lives.
今日一观，白马义从果然英勇！|After seeing it today, I can see that the White Horse Volunteers are indeed brave!
哈哈哈哈，SN15XING将军过誉了！来，喝酒！|Hahahaha, General SN15XING is overrated! Come, have a drink!
二位SN14XING姓将军，此战能胜，同样仰仗二位驰援！赐五铢二万，锦缎五十匹，官升一级！|Two SN14XING generals, victory in this battle also depends on your assistance! A reward of twenty thousand five baht, fifty pieces of brocade, and a promotion of one rank!
CH哪里的话！先前若非有CH遣人支援我等别将，我等哪还有命来见您？|CH, how could you say that! If CH hadn't sent people to support our other generals, how could we have survived to see you?
是啊，我们这条命都是CH捡回来的，若是得知CH陷入危机而不支援，岂为人臣？|Yes, our lives were saved by CH. If we knew that CH was in crisis and did not support it, would we be loyal subjects?
好好好！二位，请！|Good, good, good! You two, please!
SN10XING长史常伴左右，出谋划策，排忧解难，此次退敌亦是费心尽力！同样赐五铢二万，锦缎五十匹，官升一级！|SN10XING Changshi is always by his side, offering advice and solving problems. He also worked hard to repel the enemy this time! He is also rewarded with 20,000 five baht, 50 pieces of brocade, and a promotion of one rank!
跟随CH多年，自是要为CH排忧解难，分内之事，分内之事！|Having followed CH for many years, it is my job to help CH solve his problems. It’s my job, it’s my duty!
多说无益，喝！|There is no point in talking more, just drink!
SN18CH，SN9CH，你二人......|SN18CH, SN9CH, you two...
CH！我有一事请求！|CH! I have a request!
哦？请讲。|Oh? Go ahead.
至此，SN1MING败退，SN8MING保住PLACE1NAME，河北纷争仍在继续......|At this point, SN1MING was defeated, SN8MING retained PLACE1NAME, and the Hebei dispute continues...
要说此战能大获全胜，CH乃是头功！|If we can say that this battle was a complete victory, CH deserves the most credit!
CH确实胆识过人，心思缜密，有CH在此，乃主公之福，易京之幸也。|CH is indeed a man of extraordinary courage and insight, and a meticulous mind. It is a blessing for the lord and a fortune for Yijing to have CH here.
二位过奖了！|Thank you both for your praise!
CH莫要谦虚！今日赐钱两万贯，良驹一匹，利刃一柄，官升一级！|CH Don't be modest! Today I grant you twenty thousand strings of cash, a fine horse, a sharp sword, and a promotion of one rank!
此外，日后这白马义从便由CH率领吧！|In addition, the White Horse Volunteers will be led by CH in the future!
守备PLACE1NAME之功，就是这些奖赏我还觉不够。若是CH不答应，便是看不起我SN8MING。|For your contribution in defending PLACE1NAME, even these rewards are not enough. If CH doesn't agree, then he is looking down on me, SN8MING.
来！喝酒！|Come! Drink!
正如SN8CH所言，守备PLACE1NAME，定下乾坤胜局之人乃是CH。大人胆略过人，智勇双全，实乃真豪杰！|As SN8CH said, the man who secured PLACE1NAME and sealed the victory was none other than CH. He possesses extraordinary courage, wisdom, and bravery—a true hero!
CH过誉了！|CH is overrated!
CH，女儿自幼习武，亦读兵书，自是明白事理。PCH有勇有谋，忠勇可嘉，女儿钦佩不已！|CH, my daughter has practiced martial arts since she was young and has also read military books, so she is naturally sensible. PCH is brave and resourceful, loyal and brave, and my daughter admires him very much!
恳请父亲准许女儿投入PCH麾下，为一亲卫家将，追随左右，学习韬略，他日亦可为父亲、为易京效犬马之劳！|I beg my father to allow my daughter to join PCH's army and become a personal guard. I can follow you and learn military strategies. In the future, I can serve you and Yijing at your service!
好！不愧是我公孙瓒的女儿！有胆识！有气魄！|Good! You are worthy of being the daughter of Gongsun Zan! You are courageous and bold!
CH今日立下大功，我正愁赏赐不足以彰其功。如今我这眼高于顶的女儿竟主动请缨要为你持戟牵马！你意下如何？|CH has performed a great service today, and I was worried that the reward was not enough to honor it. Now my daughter, who is so arrogant, has volunteered to hold your spear and lead your horse! What do you think?
......(可要答应SN18MING的请求？）|......(Should we agree to SN18MING's request?)
好！能与SN18CH共事，求之不得！|Great! I couldn't be happier to be working with SN18CH!
CH！还望以后多关照！|CH! I hope you will take care of me in the future!
谢CH！我才是要CH多多关照！|Thank you, CH! I'm the one who needs your help!
哈哈哈哈！好！好！好！|Hahahaha! Good! Good! Good!
CH，你以后便跟着PCH，需谨守家将本分，勤学苦练，不得骄纵！|CH, you will follow PCH from now on. You must fulfill your duties as a housekeeper, study hard, and don't be arrogant!
谢CH！|Thanks CH!
经过这一段小小插曲，庆功宴便继续进行，直至东方微微发亮，众人才各自回去休息......|After this brief interlude, the celebration banquet continued until the sun began to rise in the east, and then everyone went back to rest...
至此，SN1MING败退，SN8MING保住PLACE1NAME，河北纷争仍在继续......|At this point, SN1MING was defeated, SN8MING retained PLACE1NAME, and the Hebei dispute continues...
恕我军政要务缠身，无法答应SN18CH请求。|I'm sorry, but I'm busy with military and political matters and cannot agree to SN18CH's request.
我这小女就是这样想一出是一出，CH莫怪。|I am just a little girl who does whatever I want, so don't blame me, CH.
若是大人不愿意，那便不再强求。|If the adults don't want to, then don't force it.
经过这一段小小插曲，庆功宴便继续进行，直至东方微微发亮，众人才各自回去休息......|After this brief interlude, the celebration banquet continued until the sun began to rise in the east, and then everyone went back to rest...
至此，SN1MING败退，SN8MING保住PLACE1NAME，河北纷争仍在继续......|At this point, SN1MING was defeated, SN8MING retained PLACE1NAME, and the Hebei dispute continues...
众人奋力抵抗，但终究是难敌袁军......AMING逐渐力竭，倒在了地上......|Everyone fought hard, but they were no match for Yuan's army... Aming gradually became exhausted and fell to the ground...
呀！大人，你醒了？|Oh! Sir, are you awake?
这......战况如何了？PLACE1NAME可有攻破？|How's the battle going? Has PLACE1NAME been able to break through?
大人您在PLACE1NAME倒下后，被手下亲信拼杀着带着出了城，可其他人就没这么幸运了......或死或俘......|After PLACE1NAME fell, my lord, your trusted men bravely fought their way out of the city, but the others were not so lucky...either dead or captured...
SN8MING大人......在众目睽睽之下......自焚了......|Lord SN8MING...set himself on fire...in full view of the public...
整个SN8XING势力......都灭了......|The entire SN8XING force... was destroyed...
就此，SN8MING势力被灭，SN1MING在河北一家独大......|With this, SN8MING's influence was destroyed, and SN1MING dominated Hebei...
不知这些部曲是怎么想的...他们竟然敢拿商人的性命要挟我们。|I wonder what these private troops are thinking... They actually dare to threaten us with the merchants' lives.
......（以现在与CH的关系，是很有可能成功的，确定要与CH结义吗？）|...... (Given my current relationship with CH, it's highly likely to succeed. Are you sure you want to form a sworn alliance with CH?)
今日WO有一事相询，WO与NI相见恨晚，NI可愿与WO义结金兰？共谋大业！|Today, I have a matter to discuss. I feel as if we've met too late in life—would you be willing to join me in a sworn bond of brotherhood/sisterhood and strive for great deeds together?
大人想何时结义，只需与您的挚友商议好日期即可。|My lord, whenever you wish to form the sworn bond, you need only agree on a date with your close friend.
**主角为男所有情况**|**主角为男所有情况**
兄弟之间何须多礼！|There's no need for such formality between brothers!  
兄妹之间何须多礼！|There's no need for such formality between brother and sister!  
既已结为兄妹，WO这里的部分家当便交于NI保管吧。希望NI可以妥善利用。|Since we are now sworn siblings, I shall entrust part of my possessions to you. I hope you will make good use of them.  
好弟弟不必多礼！|No need for courtesy, dear younger brother!  
既已结为姐弟，WO这里的部分家当便交于NI保管吧。希望NI可以妥善利用。|Since we are now sworn siblings, I shall entrust part of my possessions to you. I hope you will make good use of them.
**主角为女所有情况**|**主角为女所有情况**
呵呵，姐弟间何须多礼？|Hehe, why stand on ceremony between sister and brother?  
既已结为姐弟，WO这里的部分家当便交于NI保管吧。希望NI可以妥善利用。|Since we are now sworn siblings, I shall entrust part of my possessions to you. I hope you will make good use of them.  
NI的年龄比WO大，从此便是WO的兄长了。|You are older than me, so from now on, you shall be my elder brother.  
呵呵，兄妹间何须多礼？|Hehe, why stand on ceremony between brother and sister?  
既已结为兄妹，WO这里的部分家当便交于NI保管吧。希望NI可以妥善利用。|Since we are now sworn siblings, I shall entrust part of my possessions to you. I hope you will make good use of them.
AMING与SN1MING二人对天地盟誓，从今日起结为异姓兄妹，共谋大业！|AMING and SN1MING make a solemn vow to heaven and earth, pledging to become sworn siblings from this day forward and join hands in pursuing great undertakings!
益州乃天府之国，可不是刘璋这样的人能够把守的，皇叔不出手，西川必会落入他人囊中。|Yizhou is a land of abundance, and it is not something that someone like Liu Zhang can guard. If the emperor's uncle does not take action, Xichuan will fall into the hands of others.
报！主公即将起点兵马向PLACE2NAME方向迁都！请大人尽快前往PLACE1NAME参与！|Report! The lord is about to mobilize his troops to relocate the capital to PLACE2NAME! Please head to PLACE1NAME as soon as possible to participate!
......(时间有限，须在BUILTIN1回合内击败SN1CH才行！)|...(Time is limited, you must defeat SN1CH within 1 round of BUILTIN!)
......（不好，似乎没有足够的鸡来对战了。）|...(Oh no, it seems there aren't enough chickens to fight.)
最近手头没有足够的鸡来迎战，我们还是改日再约吧...|I don't have enough chickens to fight right now, so let's make it another day...
但是WO还是想再与NI共度一夜，WO还想多抱NI会儿。|But WO still wants to spend another night with NI, and WO wants to hug NI for a while longer.
WO还是想再与NI共度一夜，WO还想多抱NI会儿。|WO still wants to spend another night with NI, and WO still wants to hug NI for a while longer.
求之不得，哪怕只是一刻钟，也好过独自对着烛火辗转反侧......|I wish for it, even if it's just for a quarter of an hour, it's better than tossing and turning alone in front of the candlelight...
......（罢了，眼下要务繁多......）|...(Never mind, I have so many things to do right now...)
（......SN2MING，SN3MING二人也算是有些本领，不如借此机会尝试让他们加入WO的麾下？）|(...SN2MING and SN3MING are quite capable, so why not take this opportunity to try and get them to join WO's team?)
AXING大人！大事不好了！PLACE1NAME那边出乱子了！|Master AXING! Something terrible has happened! There's trouble at PLACE1NAME!
何事如此紧急？慢慢说。|What's the emergency? Speak slowly.
是SN1MING大人！他昨夜突然反了，率部杀了同僚SN3MING大人！|It's Lord SN1MING! He suddenly rebelled last night and led his troops to kill his colleague Lord SN3MING!
竟有此事？那SN2MING大人如何应对？|Is this really true? How will SN2MING respond?
SN2MING大人听说此事后立刻派人去抓SN1MING，小的走的急，不知道是否抓到......|When SN2MING heard about this, he immediately sent people to capture SN1MING. I was in such a hurry to leave, I don't know if they caught him...
SN2XING大人觉得此事有蹊跷，又知道大人您智勇双全，特派小的来请您帮SN2XING大人一把！|Lord SN2XING feels that there is something fishy about this matter, and knowing that you are both wise and brave, I have specially sent you to ask for your help, Lord SN2XING!
SN2XING大人会有重赏！若是您想要帮SN2XING大人，直接前往PLACE1NAME找他即可。|SN2XING-sama will be rewarding you handsomely! If you'd like to help SN2XING-sama, just visit him at PLACE1NAME.
WO知道了。|WO knows.
也不知这PCH什么时候到......|I don't know when this PCH will arrive...
总感觉这事有点问题......|I always feel like there's something wrong with this...
哎呀呀，CH来得正好！NI能这么快赶来，真是帮了WO大忙！|Oh my, CH arrived just in time! NI's quick arrival is a real help to WO!
听闻PLACE1NAME变故，只是WO不知此事具体情形如何......|I heard about PLACE1NAME's misfortune, but I don't know the specific circumstances...
CH先行入坐。WO再细说......|CH took his seat first. WO explained...
传令兵大抵跟CH说了个大概，SN1MING那厮竟突然发难，杀了SN3MING。|The messenger told CH a general idea, and then SN1MING suddenly attacked and killed SN3MING.
竟真的下了死手？SN1MING是您收留的人，又与SN3MING共事许久，为何会突然如此？|Did you actually kill him? SN1MING was someone you took in, and you had worked with SN3MING for a long time. Why did you do this so suddenly?
得知此事后WO立刻派人把SN1MING抓来问话......|After learning about this, WO immediately sent someone to arrest SN1MING for questioning...
他说他暗中得知了SN3MING勾结东吴孙家的计划，准备里应外合拿下PLACE1NAME——|He said he secretly learned of SN3MING's plan to collude with the Sun family of Dongwu, and was preparing to cooperate with them to take down PLACE1NAME.
SN1MING找SN3MING对峙，SN3MING担心被告发，准备下死手，他为了自保才杀了SN3MING。|SN1MING confronted SN3MING. SN3MING was worried about being reported and was ready to kill him. He killed SN3MING to protect himself.
SN3MING大人素来忠诚......怎会突然做出这种事？|Lord SN3MING has always been loyal...why would he suddenly do something like this?
唉......WO也不太相信这种说法，但死无对证，也找不到SN1MING话的问题，只得暂时把他放了......|Alas... WO doesn't quite believe this statement, but there is no evidence, and no one can find any fault with SN1MING's words, so he can only let him go for the time being...
更奇怪的是，WO放走SN1MING不久，就有百姓看到他带着几车物资和亲信离开了PLACE1NAME，往PLACE2NAME方向去了......|What's even stranger is that shortly after WO released SN1MING, some people saw him leaving PLACE1NAME with several trucks of supplies and his confidants, heading towards PLACE2NAME...
现在有了东吴要来攻打PLACE1NAME的谣言，WO需坐镇稳定民心，实在无法抽身调查此事......|Now that rumors are circulating that Dongwu is planning to attack PLACE1NAME, WO needs to stay in charge to stabilize public sentiment and can't spare the time to investigate...
此番找PCH来就是想让PCH帮WO去PLACE2NAME调查一番，此事若能查个水落石出，WO定有重赏。|The reason I came to PCH this time is to ask him to help WO investigate PLACE2NAME. If this matter can be thoroughly investigated, WO will definitely reward him handsomely.
CH既信任WO，WO自当尽力。WO这就准备启程前往PLACE2NAME。|Since CH trusts WO, WO will do his best. WO is about to set off for PLACE2NAME.
好！一路保重，静候CH的佳音！|Good! Take care and wait for good news from CH!
AMING行至PLACE2NAME村口，首先映入眼帘的便是村后空地立着一座快要完工的佛塔——|When AMING arrived at the entrance of PLACE2NAME village, the first thing that caught his eye was a nearly completed pagoda standing in the open space behind the village.
塔身已搭起木架，顶端虽未封顶，却能看清每层檐角悬挂的铜铃，风一吹便发出细碎声响......|The tower has been erected with wooden frames. Although the top is not yet sealed, you can clearly see the copper bells hanging from the eaves of each floor, which make a small sound when the wind blows...
AMING再往村口走去，可见村子被一人多高的木围栏围着，围栏缝隙间穿插着削尖的竹刺——|AMING walked towards the village entrance and saw that the village was surrounded by a wooden fence more than one meter high, with sharpened bamboo thorns inserted in the gaps between the fences.
老槐树下挂着两串带有裂痕的佛珠。村墙上用炭灰画着简易的莲花与佛像图案，偶尔还能听到村内传来隐约的诵经声......|Two cracked strings of Buddhist beads hang beneath an old locust tree. Simple lotus and Buddha images are painted with charcoal on the village walls, and occasionally, faint chanting can be heard from within the village...
AMING走近后才发现，村口两侧各站着两名手持长矛的士兵，目光警惕地盯着过往行人，与普通村落的平和景象格格不入。|When AMING got closer, he found that there were two soldiers holding spears standing on each side of the village entrance, staring at passers-by vigilantly, which was out of tune with the peaceful scene of an ordinary village.
站住！此村谢绝外人入内，快绕道走！|Stop! This village does not allow outsiders to enter, please take a detour!
这位军爷客气，小的只是路过，想进去讨碗水喝，还请通融一下。|Sir, please be polite. I am just passing by and would like to go in and ask for a bowl of water. Please be accommodating.
讨水？村里有规矩，外人一律不准进，你赶紧走，别在这浪费时间！|Asking for water? There are village rules. Outsiders are not allowed to enter. Hurry up and leave. Don't waste your time here!
军爷何必如此紧绷？小的并非歹人，只是普通路人，进去片刻便走，绝不会打扰村里安宁。|"Why are you so nervous, sir? I'm not a bad guy, just an ordinary passerby. I'll be in for a moment and then leave. I won't disturb the peace of the village."
再说，讨碗水喝也是常情，何必拒人于千里之外？|Besides, asking for a bowl of water is normal, so why turn people away?
少废话！让你走你就走！哪来这么多理由？再不走，我们可就不客气了！|Stop the nonsense! Just leave when I tell you to! Why are you giving me so many excuses? If you don't leave, we won't be polite!
AMING耐着性子与士兵拉扯了几句，目光忍不住扫过那高筑的带刺围栏——围栏连接处钉得紧实，竹刺锋利，确实无从翻越，只能寄望于说服士兵。|AMING patiently talked with the soldier for a few words, and his eyes could not help but sweep over the high barbed fence - the fence joints were nailed tightly, and the bamboo thorns were sharp, making it impossible to climb over. He could only hope to persuade the soldiers.
这番动静引来了不少村民——有手里攥着佛珠的老人、抱着孩子的妇女，还有些半大的孩子从屋舍门缝里探出头，又悄悄跑到围栏内侧的村口围观......|The commotion attracted many villagers—old men clutching Buddhist beads, women holding children, and some half-grown children who peeked out from under their houses and quietly ran to the village entrance behind the fence to watch...
一个个盯着AMING，眼神里带着警惕与好奇，偶尔交头接耳说些什么。|They stared at AMING with vigilance and curiosity in their eyes, occasionally whispering to each other.
AMING见围观村民越来越多，士兵又油盐不进，知道再耗下去也没用，只能无奈道出实情。|Seeing that more and more villagers gathered around and the soldiers were unmoved, AMING knew that it was pointless to continue wasting time and had no choice but to tell the truth.
罢了，实不相瞒，在下AMING，是奉SN2MING大人之命而来，想入村调查SN3MING大人遇害一事，并非有意叨扰。|Well, to be honest, my name is AMING. I came here on the orders of Lord SN2MING to enter the village to investigate the murder of Lord SN3MING. I didn't mean to disturb you.
还请几位通融，让WO进去询问些情况，查明真相后立刻离开。|I would also like to ask you to be flexible and allow WO to go in and inquire about the situation. Once the truth is found out, please leave immediately.
SN3MING？你还提SN3MING！就是他抢了我们的赈灾物资，害我们村里老人孩子饿肚子，连佛塔都差点修不成！你是他的人吧？想帮他洗白？快滚！|SN3MING? You're still mentioning SN3MING! He was the one who stole our disaster relief supplies, leaving the elderly and children in our village starving, and even nearly ruined the pagoda! Are you his man? Trying to whitewash him? Get out!
就是！我家娃前几天还饿晕了，若不是SN1XING大人分我们杂粮，修佛塔保村子平安，我们哪有活路？你赶紧走，别在这提那个黑心的SN3MING！|Exactly! My child fainted from hunger a few days ago. If it weren't for SN1XING, the elder who shared our grains and built the pagoda to keep the village safe, how would we have survived? You should leave now and stop mentioning that black-hearted SN3MING!
围观的村民越说越激动，有几个年轻些的村民甚至捡起地上的石子，攥在手里盯着AMING，还时不时往村后佛塔的方向看，像是在寻求某种支撑......|The villagers gathered around him, growing increasingly excited. A few younger villagers even picked up stones from the ground, held them in their hands, and stared at Aming, occasionally glancing toward the pagoda behind the village, as if seeking some kind of support.
......（SN3MING怎会抢下赈灾粮？莫不真是要叛变？）|...(Why would SN3MING seize the disaster relief food? Is he really planning a rebellion?)
......（可SN1MING又为何要修佛塔、筑高栏？再看那无从翻越的带刺围栏，更觉这村子处处透着古怪......）|...(But why did SN1MING build a pagoda and high fences? Looking at the impassable barbed fence, this village seems strange everywhere...)
......（但眼下村民情绪激动，若强行辩解，恐怕会引发冲突......）|...(But the villagers are very emotional right now. If I forcefully explain myself, it might lead to a conflict...)
各位乡亲，WO并非要替谁辩解，只是来查明SN3MING大人遇害的真相。既然大家对他有意见，那WO暂时不打扰，离开便是。|Fellow villagers, I'm not here to defend anyone. I'm simply here to investigate the truth behind SN3MING's murder. Since everyone has opinions about him, I'll leave them alone for now.
求......你们......别杀我！|Please...don't kill me!
......（要不要去看看怎么回事？）|...(Do you want to go see what's going on?)
